DateUTC,TotalActiveEnergy+,TotalActiveEnergy-,production,consumption
2021-12-31 00:00:00,0.008,0,0,0.008
2021-12-31 00:05:00,0.008,0,0,0.008
2021-12-31 00:10:00,0.009,0,0,0.009
2021-12-31 00:15:00,0.007,0,0,0.007
2021-12-31 00:20:00,0.007,0,0,0.007
2021-12-31 00:25:00,0.007,0,0,0.007
2021-12-31 00:30:00,0.006,0,0,0.006
2021-12-31 00:35:00,0.051,0,0,0.051
2021-12-31 00:40:00,0.115,0,0,0.115
2021-12-31 00:45:00,0.111,0,0,0.111
2021-12-31 00:50:00,0.114,0,0,0.114
2021-12-31 00:55:00,0.117,0,0,0.117
2021-12-31 01:00:00,0.116,0,0,0.116
2021-12-31 01:05:00,0.118,0,0,0.118
2021-12-31 01:10:00,0.12,0,0,0.12
2021-12-31 01:15:00,0.011,0,0,0.011
2021-12-31 01:20:00,0.01,0,0,0.01
2021-12-31 01:25:00,0.01,0,0,0.01
2021-12-31 01:30:00,0.007,0,0,0.007
2021-12-31 01:35:00,0.006,0,0,0.006
2021-12-31 01:40:00,0.006,0,0,0.006
2021-12-31 01:45:00,0.006,0,0,0.006
2021-12-31 01:50:00,0.006,0,0,0.006
2021-12-31 01:55:00,0.005,0,0,0.005
2021-12-31 02:00:00,0.004,0,0,0.004
2021-12-31 02:05:00,0.004,0,0,0.004
2021-12-31 02:10:00,0.005,0,0,0.005
2021-12-31 02:15:00,0.004,0,0,0.004
2021-12-31 02:20:00,0.004,0,0,0.004
2021-12-31 02:25:00,0.009,0,0,0.009
2021-12-31 02:30:00,0.004,0,0,0.004
2021-12-31 02:35:00,0.005,0,0,0.005
2021-12-31 02:40:00,0.004,0,0,0.004
2021-12-31 02:45:00,0.004,0,0,0.004
2021-12-31 02:50:00,0.004,0,0,0.004
2021-12-31 02:55:00,0.008,0,0,0.008
2021-12-31 03:00:00,0.005,0,0,0.005
2021-12-31 03:05:00,0.014,0,0,0.014
2021-12-31 03:10:00,0.018,0,0,0.018
2021-12-31 03:15:00,0.017,0,0,0.017
2021-12-31 03:20:00,0.016,0,0,0.016
2021-12-31 03:25:00,0.017,0,0,0.017
2021-12-31 03:30:00,0.008,0,0,0.008
2021-12-31 03:35:00,0.004,0,0,0.004
2021-12-31 03:40:00,0.004,0,0,0.004
2021-12-31 03:45:00,0.004,0,0,0.004
2021-12-31 03:50:00,0.004,0,0,0.004
2021-12-31 03:55:00,0.005,0,0,0.005
2021-12-31 04:00:00,0.004,0,0,0.004
2021-12-31 04:05:00,0.004,0,0,0.004
2021-12-31 04:10:00,0.004,0,0,0.004
2021-12-31 04:15:00,0.004,0,0,0.004
2021-12-31 04:20:00,0.004,0,0,0.004
2021-12-31 04:25:00,0.004,0,0,0.004
2021-12-31 04:30:00,0.004,0,0,0.004
2021-12-31 04:35:00,0.004,0,0,0.004
2021-12-31 04:40:00,0.004,0,0,0.004
2021-12-31 04:45:00,0.004,0,0,0.004
2021-12-31 04:50:00,0.004,0,0,0.004
2021-12-31 04:55:00,0.004,0,0,0.004
2021-12-31 05:00:00,0.004,0,0,0.004
2021-12-31 05:05:00,0.004,0,0,0.004
2021-12-31 05:10:00,0.005,0,0,0.005
2021-12-31 05:15:00,0.008,0,0,0.008
2021-12-31 05:20:00,0.008,0,0,0.008
2021-12-31 05:25:00,0.008,0,0,0.008
2021-12-31 05:30:00,0.014,0,0,0.014
2021-12-31 05:35:00,0.017,0,0,0.017
2021-12-31 05:40:00,0.012,0,0,0.012
2021-12-31 05:45:00,0.013,0,0,0.013
2021-12-31 05:50:00,0.012,0,0,0.012
2021-12-31 05:55:00,0.013,0,0,0.013
2021-12-31 06:00:00,0.012,0,0,0.012
2021-12-31 06:05:00,0.012,0,0,0.012
2021-12-31 06:10:00,0.012,0,0,0.012
2021-12-31 06:15:00,0.007,0,0,0.007
2021-12-31 06:20:00,0.004,0,0,0.004
2021-12-31 06:25:00,0.004,0,0,0.004
2021-12-31 06:30:00,0.007,0,0,0.007
2021-12-31 06:35:00,0.01,0,0,0.01
2021-12-31 06:40:00,0.01,0,0,0.01
2021-12-31 06:45:00,0.006,0,0,0.006
2021-12-31 06:50:00,0.004,0,0,0.004
2021-12-31 06:55:00,0.004,0,0,0.004
2021-12-31 07:00:00,0.004,0,0,0.004
2021-12-31 07:05:00,0.004,0,0,0.004
2021-12-31 07:10:00,0.004,0,0,0.004
2021-12-31 07:15:00,0.004,0,0,0.004
2021-12-31 07:20:00,0.004,0,0,0.004
2021-12-31 07:25:00,0.004,0,0,0.004
2021-12-31 07:30:00,0.007,0,0,0.007
2021-12-31 07:35:00,0.009,0,0,0.009
2021-12-31 07:40:00,0.008,0,0,0.008
2021-12-31 07:45:00,0.007,0,0,0.007
2021-12-31 07:50:00,0.011,0,0,0.011
2021-12-31 07:55:00,0.005,0,0,0.005
2021-12-31 08:00:00,0.004,0,0,0.004
2021-12-31 08:05:00,0.003,0,0.001,0.003
2021-12-31 08:10:00,0.001,0,0.003,0.001
2021-12-31 08:15:00,0,0.007,0.01,-0.007
2021-12-31 08:20:00,0,0.01,0.014,-0.01
2021-12-31 08:25:00,0,0.015,0.019,-0.015
2021-12-31 08:30:00,0,0.02,0.023,-0.02
2021-12-31 08:35:00,0,0.027,0.032,-0.027
2021-12-31 08:40:00,0,0.031,0.034,-0.031
2021-12-31 08:45:00,0,0.035,0.038,-0.035
2021-12-31 08:50:00,0,0.036,0.041,-0.036
2021-12-31 08:55:00,0,0.038,0.044,-0.038
2021-12-31 09:00:00,0,0.041,0.047,-0.041
2021-12-31 09:05:00,0,0.045,0.049,-0.045
2021-12-31 09:10:00,0,0.048,0.051,-0.048
2021-12-31 09:15:00,0,0.05,0.055,-0.05
2021-12-31 09:20:00,0,0.048,0.051,-0.048
2021-12-31 09:25:00,0,0.054,0.058,-0.054
2021-12-31 09:30:00,0,0.053,0.057,-0.053
2021-12-31 09:35:00,0,0.053,0.057,-0.053
2021-12-31 09:40:00,0,0.059,0.063,-0.059
2021-12-31 09:45:00,0.035,0.032,0.062,0.003
2021-12-31 09:50:00,0.127,0,0.062,0.127
2021-12-31 09:55:00,0.033,0.036,0.06,-0.003
2021-12-31 10:00:00,0.001,0.037,0.06,-0.036
2021-12-31 10:05:00,0,0.034,0.057,-0.034
2021-12-31 10:10:00,0,0.027,0.055,-0.027
2021-12-31 10:15:00,0,0.037,0.062,-0.037
2021-12-31 10:20:00,0,0.047,0.064,-0.047
2021-12-31 10:25:00,0,0.056,0.064,-0.056
2021-12-31 10:30:00,0,0.061,0.067,-0.061
2021-12-31 10:35:00,0,0.057,0.065,-0.057
2021-12-31 10:40:00,0.103,0.003,0.062,0.1
2021-12-31 10:45:00,0.03,0.04,0.065,-0.01
2021-12-31 10:50:00,0,0.053,0.065,-0.053
2021-12-31 10:55:00,0,0.057,0.068,-0.057
2021-12-31 11:00:00,0,0.053,0.07,-0.053
2021-12-31 11:05:00,0,0.044,0.068,-0.044
2021-12-31 11:10:00,0,0.054,0.071,-0.054
2021-12-31 11:15:00,0,0.051,0.069,-0.051
2021-12-31 11:20:00,0,0.055,0.073,-0.055
2021-12-31 11:25:00,0,0.061,0.075,-0.061
2021-12-31 11:30:00,0,0.059,0.073,-0.059
2021-12-31 11:35:00,0,0.061,0.075,-0.061
2021-12-31 11:40:00,0,0.07,0.079,-0.07
2021-12-31 11:45:00,0,0.074,0.08,-0.074
2021-12-31 11:50:00,0,0.073,0.077,-0.073
2021-12-31 11:55:00,0,0.074,0.077,-0.074
2021-12-31 12:00:00,0,0.072,0.077,-0.072
2021-12-31 12:05:00,0,0.072,0.074,-0.072
2021-12-31 12:10:00,0,0.071,0.075,-0.071
2021-12-31 12:15:00,0,0.066,0.075,-0.066
2021-12-31 12:20:00,0,0.066,0.074,-0.066
2021-12-31 12:25:00,0,0.062,0.074,-0.062
2021-12-31 12:30:00,0,0.064,0.076,-0.064
2021-12-31 12:35:00,0.002,0.058,0.074,-0.056
2021-12-31 12:40:00,0.057,0,0.072,0.057
2021-12-31 12:45:00,0.061,0,0.069,0.061
2021-12-31 12:50:00,0.061,0,0.07,0.061
2021-12-31 12:55:00,0.056,0,0.07,0.056
2021-12-31 13:00:00,0.055,0,0.068,0.055
2021-12-31 13:05:00,0.049,0,0.068,0.049
2021-12-31 13:10:00,0.043,0,0.066,0.043
2021-12-31 13:15:00,0.05,0,0.064,0.05
2021-12-31 13:20:00,0.054,0,0.063,0.054
2021-12-31 13:25:00,0.046,0.013,0.062,0.033
2021-12-31 13:30:00,0,0.059,0.062,-0.059
2021-12-31 13:35:00,0,0.059,0.063,-0.059
2021-12-31 13:40:00,0,0.058,0.061,-0.058
2021-12-31 13:45:00,0,0.057,0.06,-0.057
2021-12-31 13:50:00,0,0.054,0.058,-0.054
2021-12-31 13:55:00,0,0.054,0.056,-0.054
2021-12-31 14:00:00,0,0.052,0.056,-0.052
2021-12-31 14:05:00,0,0.053,0.056,-0.053
2021-12-31 14:10:00,0,0.052,0.056,-0.052
2021-12-31 14:15:00,0,0.047,0.05,-0.047
2021-12-31 14:20:00,0,0.038,0.041,-0.038
2021-12-31 14:25:00,0,0.041,0.044,-0.041
2021-12-31 14:30:00,0,0.034,0.038,-0.034
2021-12-31 14:35:00,0,0.036,0.039,-0.036
2021-12-31 14:40:00,0,0.034,0.037,-0.034
2021-12-31 14:45:00,0,0.028,0.034,-0.028
2021-12-31 14:50:00,0,0.025,0.033,-0.025
2021-12-31 14:55:00,0,0.026,0.033,-0.026
2021-12-31 15:00:00,0,0.026,0.032,-0.026
2021-12-31 15:05:00,0,0.025,0.032,-0.025
2021-12-31 15:10:00,0,0.028,0.032,-0.028
2021-12-31 15:15:00,0,0.025,0.028,-0.025
2021-12-31 15:20:00,0,0.026,0.029,-0.026
2021-12-31 15:25:00,0,0.024,0.03,-0.024
2021-12-31 15:30:00,0,0.024,0.028,-0.024
2021-12-31 15:35:00,0,0.022,0.025,-0.022
2021-12-31 15:40:00,0,0.005,0.018,-0.005
2021-12-31 15:45:00,0,0.007,0.019,-0.007
2021-12-31 15:50:00,0,0.004,0.017,-0.004
2021-12-31 15:55:00,0,0.003,0.014,-0.003
2021-12-31 16:00:00,0,0.002,0.013,-0.002
2021-12-31 16:05:00,0.001,0,0.011,0.001
2021-12-31 16:10:00,0.002,0,0.009,0.002
2021-12-31 16:15:00,0.007,0,0.008,0.007
2021-12-31 16:20:00,0.006,0,0.009,0.006
2021-12-31 16:25:00,0.008,0,0.007,0.008
2021-12-31 16:30:00,0.009,0,0.006,0.009
